Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Sabana Fried Chicken,n/a,F&B,BO,"13,75-15jt",Jl. Bromo Blok 6 No.4 Komp Raflesia Jatimakmur Pondok Gede,021-84900735,,,,
Dante Coffee,PT Kurnia Mitra Duta Sentosa,F&B,Franchise,n/a,Kawasan Bangunan Multiguna Blok D5 Jl. MH Thamrin Km7 Paku Alam Serpong Tangerang,021-5398003,,,,
Robota Robotics School,PT Robota Indonesia,Pendidikan,Franchise,171jt,Ruko BHS Jl. DR Rajiman 289/4 Surakarta,0271-74178,,,,
Jumbo Fried Chicken,Jumbo Fried Chicken,Ayam Goreng,BO,55-70jt,Jl. Soekarno Hatta Komp.Ruko Bca No.5B Pasuruan,0343-424112,,,,
Martha Tilaar Salon Day Spa,PT Cantika Puspa Pesona,Salon & Spa,Franchise,"1,5 Milyar",Jl.Pulokambing II No.1 Kawasan Industri Pulogadung - Jakarta,"021-4603717 ext 816,817,819",,,,
Chubby Burger,PT Sacca Prima Axinsindo,F&B,BO,55jt,Jl. Ciawi II No.15 Kebayoran Baru Jakarta Selatan,021-7232873,,,,
Phas Martabak,Phas Martabak,F&B,Franchise,14-85jt,Jl. Cirendeu Raya No.1,021-26328219,,,,
Super Buble,Super Buble,F&B,BO,"2,9-4,9jt",Pesanggrahan Mas JL. Graha 2 RT 003/02 No.75 Petukangan Selatan Jakarta,021-33750861,,,,
Bakso Malang Kota Cak Eko,Bakso Malang Kota Cak Eko,F&B,Franchise,60-120jt,n/a,021-93846527/021-84307897,,,,
Bakso Buntut,CV HWK Media Utama,F&B,BO,Rp. 12jt,Kadin Bandung Business Center Jl. Telaga Bodas No.31 Bandung,022-91930550,,,,
Barokah Solution,PT Satu Jiwa Barokah,"Telekomunikasi, Branding, IT, Event Organizer",BO,100-200jt,Jl.Pondok Mas Setengah No.8 Baros Cimahi,022-91100161,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
Beanstock Coffee and Tea,PT Adi Tata Nusindo,Kedai Kopi,BO,195jt,Bina Sentra Abiyasa Lt.4 Suite 404 & 405 Jl. Gatot Subroto Kav 71-73 Pancoran,021-8305611,,,,
Laundry First Cuci Kiloan,Laundry First Cuci Kiloan,Laundry,BO,50jt,Jl.Bendungan Asahan Benhil,021-91655678,,,,
Dawet Cah Banjar,Jawarafizta,Dawet,Franchise,6-40jt,Jl. Perjuangan Ruko Tasbih PP No.9 Medan,061-8211307,,,,
Mie Yamie,Mie Yamie Indonesia,Makanan,Franchise,20jt,Jl. Danau Mahalona D1 No.47 Bendungan Hilir Jakarta,0812-8863793,,,,
Apotek K-24,PT K-24 Indonesia,Apotek,Franchise,700-750jt,Jl.Magelang Karangwaru Kidul PR24 Yogyakarta,0274-542024,,,,
Bakso Iga Sapi,Bakso Iga Sapi,F&B,Franchise,n/a,Jl. Kutisari Selatan 9 No.31 Surabaya,031-8499925/031-71800428,,,,
Bamboo Media,PT bamboomedia Cipta Persada,Software Komputer,BO,5-200jt,Jl.Merdeka NO.45 Denpasar Bali,0361-265521,,,,
Le Monde Baby’s World,PT Lembanindo Tirta Anugrah,Toko Perlengkapan Bayi,Kemitraan,Rp. 400jt-1M,Jl.Radio Dalam Raya No.50 Lt.2 Kebayoran Baru,021-7207622,,,,
Martabak House,Martabak House,Resto/Cafe,BO,150jt,Jl. Seturan (dpn SD Budi Mulya) Sleman Yogyakarta/Jl. Kusuma Wardani No.9-11 Semarang,0274-9237261/024-70117206,,,,
Arumanis Rainbow,Rainbow Company,F&B,Franchise,20jt,Jl. H. Hamid no. 10 Taman Cimanggu - Bogor,0251-37098736,,,,
Warung Bandeng Kapasan Surabaya,Warung Bandeng Kapasan Surabaya,Traditional Food,Franchise,35-125jt,Jl. Kapasari Gembong DKA2/1 Surabaya,031-70130279,,,,
Jamur Crispy,CV HWK Media Utama,F&B,BO,5-7 jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas 31 Bandung,022-91930550,,,,
Jojo Cup,PT Jojo Group Indonesia,Minuman,BO,30-60jt,Jl. Ujung Berung No.163 Bandung,022-70004488/022-7800034,,,,
