Nama Franchise,Modal Minimal,Kategori Franchise,Franchise Fee,Nama Perusahaan,Biaya Royalti,Berdiri Sejak,Biaya Advertising,Jumlah Gerai,Alamat,Contact Person,Nomor WA,Telepon,Fax,Email,Website
Gorillaz,Rp 34.900.000,Otomotif,0,PT. Sinar Berkah Group ,0,2018.0,0,21.0,"Jl. Kalimas baru 29 A no 11-12, Surabaya  ",087852950666 ,+6287852950666  (Klik nomor untuk chat via WA),087852950666 , ,Info@gorillaz.id,Klik : http://www.gorillaz.id
Tahooe,Rp 15.000.000,Makanan & Minuman,FREE,Tahooe Indonesia ,5% dari Omset,2017.0,,6.0,Jl. Hayam Wuruk No.31 Kota Jambi ,082176908015 ,+6282176908015  (Klik nomor untuk chat via WA),082176908015 , ,info.tahooe@gmail.com,Klik : http://www.vazelteam.com
Kay Express Indonesia,Rp 350.000,Lainnya,10%,PT Kay Ocean Indonesia ,0,2014.0,0,5.0,"Komplek Niaga Graha Cibinong, Blok H No. 1-2, Jl. Raya Jakarta Bogor KM. 43 Cibinong 16917 ",Sugito Sigit ,+6285692220636  (Klik nomor untuk chat via WA),02183713286 , ,rifal@kayexpress.id,Klik : http://www.kayexpress.id
212 Mart,Rp 212.000.000,Retail,,Koperasi Syariah 212 ,,2017.0,,235.0,"Office Area Bellanova Country Mall No 5 - 6 Sentul City, Babakan Madang, Bogor, jawa Barat 16810, Indonesia ",212Mart ,+628116411212  (Klik nomor untuk chat via WA),08 212 212 2810 (Marketing)  0813 9814 3325 (Marketing)  0811 6411 212 (Kantor) , ,info@koperasisyariah212.co.id,Klik : http://koperasisyariah212.co.id
ROPI,Rp 100.000.000,Makanan & Minuman,Rp 20.000.000,PT Juara Roti Indonesia ,,2019.0,,53.0,"Jl. Terusan Inspeksi Kali Sunter No.39, RT.1/RW.1, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260 ",Herisal Malik ,+628119890927  (Klik nomor untuk chat via WA),0811 4232 789 , ,rotiropi@gmail.com,Klik : https://rotiropi.com/
ORCHI Fried Chicken,Rp 13.750.000,Makanan & Minuman,GRATIS SEUMUR HIDUP,ORCHI INDONESIA GROUP ,GRATIS SEUMUR HIDUP,2007.0,GRATIIIISSS....,500.0,Jl.Raya Pulogebang No.43 Jakarta 13950 ,Admin Marketing Orchi ,+6281311606060  (Klik nomor untuk chat via WA),081311606060 (Ibu Santi) ,0214809962 ,cyberlink_2007@yahoo.co.id,Klik : http://www.orchi-indonesia.com
WISCO,Rp 5.000.000,Makanan & Minuman,0,KOES ISLAND GROUP ,no royalty fee,2011.0,0,387.0,"Jl.Bintan no 10 Grogolan, Ketelan, Banjarsari, Solo ",085702222138 ,+6285702222138  (Klik nomor untuk chat via WA),> Marketing Wisco Center Indonesia: 0857-0222-2138 ( WA / Telp ) FAST RESPON OFFICE HOURS SERVICE 24 JAM ============= other: 085728376002  pin BB WISCO CENTER: 5CE2EE6C  , ,wisco.chocolate@gmail.com,Klik : http://www.wiscochocolate.com
OMURA SHAKE ME UP,Rp 4.000.000,Makanan & Minuman,-,PT AGUNG FOOD INDUSTRINDO ,-,2019.0,-,20.0,"JL.GEDONG PANJANG NO.20 D , PEKOJAN , TAMBORA , JAKARTA BARAT ",OMURA SHAKE ME UP ,+6285281190170  (Klik nomor untuk chat via WA),Hp : 085281190170 Tlp: (021) 6901237 Tlp: 6901237(Marketing franchise) , ,omurashakemeup@gmail.com,Klik : http://www.omurashakemeup.com
GEROBAK COKELAT,Rp 137.000.000,Makanan & Minuman,-,CV Putra Indonesia (Property and Culinary) ,3 % per mulai bulan ke 8 (melihat Omset Record),2011.0,-,14.0,"Jalan SLamet Riyadi 510, Purwosari - Solo ",FATRA SATRIA DEVARA ,+6282230707900  (Klik nomor untuk chat via WA),Hp : 0822 3070 7900  Twitter : @GerobakCokelat  Instagram : @gerobak_cokelat_cafe ,- ,Gerobakcokelatindonesia@gmail.com,-
Kedai Kopi Kapal Api,Rp 10.000.000,Makanan & Minuman,-,PT.Santos Jaya Abadi ,-,2011.0,-,200.0,"Jl. Taman Jatibaru Barat No 1-3, Tanah Abang, Jakarta Pusat ",Kedai Kopi Kapal Api ,+6285782545357  (Klik nomor untuk chat via WA),Taufik Hidayat : 021-3914322 Ext 2303 atau 2302 Dwi Bakhtiar 085782545357   ,021 391 7904 ,dwi.bakhtiar@kapalapi.co.id,-
